townname,cityid,ctycode,plcode,massgis,mfallow,siteplan,mfspga,mfattach,mfmixed,mfconvert,mfparcel,mfminlot,unitarea,townhous,mfsenior,onlyold,zonedist,agelimit,overlay,resdist,agezone,zoneweb,accesapt,aaspga,aafamily,cluster,clbuilt,clspga,cladopt,clamend,clbonus,cltype,clparcel,clminlot,clopen,include,incstruc,inclieu,incbonus,increlax,incadopt,incdevs,incunits,growrate,grownum,phasing,phunits,growadpt,growtemp,growexp,exsenior,exafford,exopen,exlodens,exinfra,exother,capfirm,mlaexclud,mlacba,mlapct,shaprule,shapenum,htcalc,front150,longzone,maxfront,frontout,maxbuild,subdrule,subadopt,subamend,subdweb,maxlength,pavewid1,pavewid2,typeroad,rghtway1,curb,sidewalk,sidewide,maxgrade,maxgrad2,wetbylaw,wetadopt,wetamend,ccadopt,wetonline,vernpool,vernlist,buffpool,pooldefn,vernwide,maxjuris,buffisol,isolwide,floodexp,addterms,termdefn,bufflsf,lsfdefn,nobuild,nogowide,delaycert,septrule,septdate,septweb,grndmin,roomflow,housflow,bedcount,maxperc,leachsiz,propback,wetback,wellback,perctest,septtime,noshare,pctsewer,iipartic,iiratio,iicash,sewerfee
CLINTON,5,27,14395,64,6,,1,0,0,2,,5000,,0,0,0,5,,2,2,1,0,2,2,0,2,1,1,,,1,1,,,20,3,3,0,2,0,,0,0,0,,0,,,,,,,,,,,0,1,0,,0,,1,0,0,110,0,3784,1,1973,,0,800,28,24,MINOR,50,2,1,4,10,12,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,4,1,3,0,825
STERLING,6,27,67385,282,2,,2,1,0,0,,21780,10000,0,0,0,6,,3,2,0,0,2,2,0,0,,,,,,,,,,0,,,,,,,,1,30,1,7,1998,1,2008,0,0,0,0,0,0,0,0,0,,0,,2,1,1,225,0,3288,1,1967,2004,0,675,24,20,MINOR,50,2,1,4,10,10,0,,,,,,,,,,,,,,,,,,,,,1,1995,0,6,110,330,1,60,1000,10,100,100,0,0,1,0,,,,
BOYLSTON,7,27,7525,39,0,,,0,0,0,,,,0,0,0,10,,2,3,0,1,0,,,0,,,,,,,,,,0,,,,,,,,1,20,1,8,2000,1,2005,1,1,0,0,0,0,0,0,0,,0,,1,1,2,200,0,2307,1,2004,,1,,24,24,LOCAL,50,2,2,,,,0,,,,,,,,,,,,,,,,,,,,,1,2003,0,5,110,330,0,60,750,20,100,100,0,0,0,0,,,,
WEST BOYLSTON,8,27,75155,321,5,0,1,0,0,0,10,40000,5500,2,1,0,5,55,4,2,1,0,2,2,0,2,1,1,2002,,,3,10,5000,25,0,,,,,,,,0,,0,,,,,,,,,,,0,0,0,,0,,1,0,0,120,0,1318,1,,,0,500,26,26,RESIDENTIAL FEEDER,50,2,1,5,8,10,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,3,0,,,4000
NORTHBOROUGH,9,27,46820,215,6,,2,0,2,2,5,15000,8712,2,1,0,10,55,4,5,1,1,0,,,2,,1,,1988,1,1,10,10000,35,1,4,0,1,0,1988,0,0,0,,0,,,,,,,,,,,0,1,1,50,0,,1,1,2,200,0,2331,1,1991,2003,1,500,26,26,NA,50,3,2,5,10,10,1,1990,,1,1,0,0,0,,,,1,100,1,1,0,1,1,1,30,1,0,,,,,,,,,,,,,,,1,0,,,6400
TOWNSEND,10,17,70360,299,6,,2,0,2,2,10,15000,87120,0,0,0,7,,3,2,0,0,2,2,0,2,0,1,1986,2000,1,1,10,20000,30,1,4,0,1,1,1989,,,1,28,1,3,2004,1,2008,1,1,0,0,0,0,1,0,0,,0,,1,1,2,200,0,3424,1,1999,,0,500,26,26,TYPE I,40,2,2,5,9,9,1,1983,1997,1,0,1,1,1,0,100,100,1,100,1,1,1,1,1,1,50,1,1,2004,0,5,110,330,0,60,,25,100,100,0,0,1,0,,,,
PEPPERELL,11,17,52805,232,2,,1,1,1,0,,40000,10000,2,0,0,7,,2,5,0,1,2,2,0,2,1,1,1973,,,,10,,,0,,,,,,,,1,40,1,5,1998,1,2006,1,1,0,1,0,0,1,1,1,,1,40,3,1,5,200,0,3514,1,,2000,0,500,24,20,SUBCOLLECTOR,40,3,1,4,8,8,1,2002,,0,1,0,0,0,,,,0,,0,0,,0,0,1,50,0,1,1990,0,5,150,450,0,60,,10,50,100,0,0,0,1,0,,,500
DUNSTABLE,12,17,17825,81,7,1,1,0,2,0,10,20000,20000,2,1,0,6,55,3,3,1,1,2,2,1,2,1,1,1988,1997,1,3,10,20000,35,3,4,0,1,1,2002,0,0,1,24,1,5,2001,1,2006,0,1,1,1,0,0,1,1,1,,4,,1,1,2,200,0,2258,1,,2003,1,600,28,28,NA,55,3,2,,6,12,1,1985,2000,1,0,0,0,0,,,,0,,1,0,,0,1,1,60,1,1,2004,1,5,110,330,0,60,,10,50,120,0,0,0,0,,,,
SHIRLEY,13,17,61590,270,6,,4,1,2,2,6,50000,,0,0,0,7,,4,4,1,1,1,2,0,2,1,1,,,1,1,6,,35,0,,,,,,,,1,30,0,,2000,1,2005,1,1,0,1,0,0,1,0,0,,0,,1,1,2,225,0,8340,1,1956,2000,0,1000,24,24,MINOR,50,3,2,5,10,10,1,1995,1996,0,1,0,0,0,,,,0,,0,0,,0,0,0,,0,1,1995,0,5,110,330,0,30,600,20,100,100,0,0,1,3,0,,,250
GROTON,14,17,27480,115,6,,4,1,0,2,,80000,5000,0,1,0,6,55,5,2,1,1,0,,,2,1,1,1980,,1,1,,30000,25,2,4,1,2,0,1990,,5,1,60,1,5,1980,1,2005,0,0,0,0,0,0,0,1,1,,1,40,3,1,2,225,0,4196,1,1983,2000,1,1000,22,20,MINOR,50,3,1,4,10,10,1,2001,2003,0,1,1,1,1,1,100,200,1,100,0,1,0,0,0,1,50,1,1,2003,1,5,110,330,0,60,600,20,100,100,0,0,1,1,0,,,6500
AYER,15,17,3005,19,4,0,2,0,1,2,,10000,3630,1,0,0,7,,4,3,0,0,0,,,2,1,1,2000,,0,3,1.5,10000,,1,4,0,0,0,2000,1,2,1,32,1,6,1999,1,2005,0,0,0,0,0,0,1,1,0,,0,,3,1,2,150,0,2089,1,1966,,0,500,36,36,MINOR,50,2,2,4,12,12,0,,,,,,,,,,,,,,,,,,,,,1,2001,0,5,110,330,0,60,,10,50,100,0,0,1,4,0,,,1500
LANCASTER,16,27,34165,147,2,,2,0,0,0,,87120,,0,1,0,7,55,3,1,1,0,0,,,2,1,1,,,1,,,32000,,0,,,,,,,,1,30,1,4,1986,0,,0,0,0,0,0,0,0,1,0,90,1,30,1,1,1,225,0,2372,1,1987,2001,0,,24,22,MINOR,50,2,0,,10,11,0,,,,,,,,,,,,,,,,,,,,,1,1999,0,5,110,330,0,60,,10,100,100,0,0,0,2,1,3,0,100
HARVARD,17,27,28950,125,1,0,4,0,2,2,,65340,65340,2,0,0,4,,2,2,0,1,2,2,0,2,1,1,1990,2003,1,2,4.5,65340,50,1,4,0,1,1,2003,0,0,0,,0,,,,,,,,,,,0,1,1,25,0,,1,1,2,180,0,3203,1,1970,1986,1,500,24,18,CONVENTIONAL SUBD,50,1,0,,15,15,1,1987,2002,1,1,0,0,0,,,,1,100,1,0,,0,1,0,,1,1,1987,0,5,110,330,0,20,800,10,100,100,0,0,0,0,,,,
BOLTON,18,27,6365,34,0,,,0,0,0,,,,0,0,0,6,,2,1,0,1,1,,0,2,1,1,1989,1996,0,0,10,43560,33,2,,1,0,0,2004,0,0,1,37,1,6,2000,1,2008,1,1,0,0,1,0,1,0,0,,1,32,5,1,1,200,0,1740,1,1968,2001,0,500,24,24,MINOR,50,2,1,4,8,10,1,1998,,0,1,1,1,1,1,100,200,1,100,1,1,0,1,0,1,25,1,1,2001,0,5,110,330,0,30,,25,100,100,0,0,0,0,,,,
BERLIN,19,27,5490,28,5,1,1,0,0,0,20,80000,14167,0,1,0,7,55,4,2,1,0,2,2,0,2,,1,1999,,,1,20,14520,30,2,3,0,0,0,2003,0,0,1,15,1,8,1999,1,2005,1,1,0,0,0,0,0,0,0,,4,,3,1,1,200,0,1338,1,2001,,0,500,26,26,MINOR,60,3,0,5,10,10,0,,,,,,,,,,,,,,,,,,,,,1,1996,0,5,110,330,0,30,,25,100,100,0,0,0,0,,,,
MARLBOROUGH,20,17,38715,170,2,,3,1,0,2,,5000,,2,0,0,11,,3,8,1,1,0,,,2,,1,,,1,2,5,10000,20,3,4,0,1,0,2004,1,,0,,0,,,,,,,,,,,0,0,0,,5,,3,1,3,250,0,2918,1,1980,2003,1,500,32,26,SECONDARY,50,3,2,,8,10,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,4,1,3,0,3000
HUDSON,21,17,31540,141,2,,2,0,2,2,,5000,6000,2,0,0,8,,4,5,1,1,0,,,0,,,,,,,,,,0,,,,,,,,0,,0,,,,,,,,,,,0,0,0,,0,,3,1,3,180,0,1606,1,1986,1993,0,500,28,28,COLLECTOR,50,2,1,5,7,7,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,3,1,3,1,500
STOW,22,17,68050,286,6,,1,0,0,0,25,65340,10890,0,1,0,7,55,4,2,1,0,1,1,0,2,1,1,1970,1995,0,1,10,20000,60,3,4,1,1,1,2003,0,0,0,,1,6,1988,,,0,1,1,0,1,1,0,1,0,50,1,40,1,1,2,200,0,1319,1,1956,2001,1,500,22,18,ACCESS,50,2,2,5,10,10,1,1983,2004,1,1,1,1,1,0,200,200,1,100,1,1,1,1,1,1,35,1,1,1999,0,5,110,330,0,60,1000,10,100,150,0,0,0,0,,,,
SOUTHBOROUGH,23,27,63165,277,6,,4,0,0,0,50,10000,,0,1,0,9,55,2,2,1,0,2,2,0,2,1,1,1996,,0,1,10,,35,2,,1,3,0,,1,4,0,,0,,,,,,,,,,,0,1,0,45.91368,4,,1,1,2,150,0,1545,1,1986,,1,1000,24,20,LOCAL RESIDENTIAL,50,2,1,,8,10,1,1995,2002,1,1,0,1,1,,100,100,1,100,1,1,0,1,0,1,20,1,1,2000,1,5,110,330,0,60,,10,50,100,0,1,0,0,,,,
HOPKINTON,24,17,31085,139,6,,1,0,0,0,5,22000,4356,0,1,0,9,55,9,6,1,1,2,2,0,2,1,1,1988,2003,0,1,10,4356,15,2,2,0,0,0,,,,0,,1,12,2000,,,1,1,0,1,0,0,0,0,0,,0,,1,1,3,200,1,4632,1,1959,2003,1,500,22,20,MINOR,50,2,1,5,9,9,1,1995,2003,1,1,1,1,1,0,125,125,1,100,1,1,0,1,0,1,50,1,1,2004,1,5,110,330,0,60,,10,50,100,0,0,0,2,0,,,3000
UPTON,25,27,71480,303,6,,4,0,2,0,5,15000,14520,2,1,0,9,55,1,5,1,1,0,,,3,1,1,1999,,1,3,5,14520,25,1,4,0,1,0,2002,0,0,0,,1,44,,,,0,1,0,0,0,0,0,0,0,,0,,1,1,4,240,0,2713,1,2000,,1,500,20,20,MINOR,50,3,1,5,8,8,1,2004,,0,1,1,1,1,1,,200,1,100,1,1,0,1,0,0,,1,1,2003,0,5,110,330,0,60,,10,100,100,1,0,0,1,0,,,5000
MILFORD,26,27,41165,185,6,,1,0,0,0,5,7000,,2,1,0,11,55,2,4,1,1,2,2,1,2,1,1,1985,2002,1,3,5,,50,1,3,0,1,0,2002,0,0,0,,0,,,,,,,,,,,0,0,0,,1,30,1,0,0,120,0,2299,1,1955,2002,1,500,30,30,MINOR,50,3,2,5,8,12,1,2002,,0,1,0,0,0,,,,1,100,1,1,0,1,0,1,25,1,0,,,,,,,,,,,,,,,4,0,,,500
HOPEDALE,27,27,30945,138,0,,2,0,0,2,,50000,,1,0,0,14,,2,7,1,0,2,2,1,2,,1,,,,,7,,,0,,,,,,,,0,,0,,,,,,,,,,,0,0,0,,0,,3,1,2,150,0,334,1,2001,,0,500,30,30,MINOR,50,2,2,,10,10,0,,,,,,,,,,,,,,,,,,,,,1,,0,5,110,330,0,60,,10,50,100,0,0,0,4,0,,,500
MENDON,28,27,40255,179,0,,,0,0,0,,,,0,0,0,2,,2,2,0,0,0,,,0,,,,,,,,,,2,1,0,2,1,2004,0,0,1,39,1,7,2001,1,2006,0,0,0,0,0,0,1,1,0,100,0,,5,1,2,200,0,3581,1,,1997,0,800,30,30,SECONDARY,50,3,2,5,6,6,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,
MILLVILLE,29,27,41585,188,2,,1,0,0,0,,20000,,0,0,0,3,,0,2,0,0,0,,,0,,,,,,,,,,0,,,,,,,,0,,0,,,,,,,,,,,0,0,0,,0,,1,1,2,200,0,1056,1,1984,2001,0,500,26,26,MINOR,50,3,2,4,10,10,1,2003,,1,0,1,1,1,1,200,200,1,100,1,1,0,1,1,1,50,1,0,,,,,,,,,,,,,,,0,,,,
BLACKSTONE,30,27,6015,32,2,,4,1,2,2,,52500,5000,2,0,0,4,,4,4,0,0,0,,,2,1,1,1994,1996,0,0,,,,0,,,,,,,,0,,0,10,1979,,2001,0,,,,,,1,1,0,90,1,30,1,1,3,275,0,1590,1,1963,2003,0,500,26,20,MINOR,50,3,2,5,10,11,1,1986,2000,0,0,0,0,0,,,,1,100,0,0,,0,0,1,100,1,0,,,,,,,,,,,,,,,1,0,,,3100
BELLINGHAM,31,21,4930,25,1,0,1,0,0,2,,20000,,2,1,0,7,55,4,3,1,1,2,2,1,2,1,1,,2002,0,0,,40000,,1,,0,0,1,,,0,0,,0,,,,,,,,,,,0,1,0,90,1,22,1,1,2,200,0,1840,1,1956,2000,1,,26,22,MINOR,50,2,1,5,10,12,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,0,,,500
MEDWAY,32,21,39975,177,0,,,0,0,0,,,,2,0,0,12,,5,4,1,1,2,2,1,2,0,1,1999,,0,2,10,6000,40,0,,,,,,,,0,,0,,,,,,,,,,,0,1,1,50,1,22,1,1,3,180,0,2057,1,,2000,0,600,26,18,MINOR,50,2,1,5.5,8,8,1,1996,,0,1,0,1,1,,100,100,1,100,1,1,0,1,0,1,25,0,1,1995,0,5,110,330,0,60,,10,50,100,1,1,0,3,0,,,75
HOLLISTON,33,17,30700,136,7,1,4,1,2,1,10,5000,8712,1,1,0,7,55,3,5,1,1,1,,1,2,1,1,1975,1978,0,1,10,8712,15,1,1,0,2,1,2001,0,0,0,,0,,,,,,,,,,,0,0,0,,0,,1,1,2,225,0,3070,1,,2004,1,500,24,24,LOCAL RESIDENTIAL,50,3,2,,8,8,1,1975,2003,1,1,1,1,1,1,200,200,1,100,1,1,0,1,1,1,50,1,1,1997,0,6,110,330,0,60,,10,50,100,0,0,1,0,,,,
ASHLAND,34,17,2130,14,4,1,4,0,1,2,5,5000,2000,0,1,0,9,55,3,4,1,0,2,2,1,2,1,1,1970,1999,1,0,5,15000,50,3,1,1,1,1,1972,0,0,0,60,0,,,1,2000,,,,,,1,0,1,0,90,1,22,1,1,2,150,0,2645,1,2001,,1,500,26,24,MINOR,50,3,1,5,10,12,1,1999,,0,1,0,0,0,,,,0,,0,0,,0,0,1,25,0,1,1997,0,5,110,330,0,60,,10,75,100,0,0,0,3,1,4,1,1100
FRANKLIN,35,21,25100,101,6,,1,0,0,0,,40000,1000,2,0,0,12,,6,7,1,0,0,,,2,1,1,1987,2001,0,1,5,15000,20,1,,0,2,0,2001,,,1,100,1,10,1997,1,2009,1,0,0,0,0,0,1,1,0,90,4,,1,1,3,200,0,,1,,1999,1,600,28,26,MAJOR,56,3,2,,8,8,1,1997,,1,1,1,1,1,0,100,100,1,100,0,1,0,0,0,1,25,1,0,,,,,,,,,,,,,,,2,1,,1,2750
FRAMINGHAM,36,17,24925,100,2,,1,0,2,2,,8000,,2,0,0,19,,4,7,1,1,0,,,2,0,1,,,,2,10,12000,25,2,4,0,0,0,2004,0,0,0,,0,,,,,,,,,,,0,1,1,70,4,,1,0,0,100,0,3227,1,,,1,500,24,24,RESIDENTIAL ACCESS,60,3,2,,8,8,1,1992,,1,0,1,1,1,0,125,125,1,125,1,0,,1,0,0,,1,0,,,,,,,,,,,,,,,4,1,,1,100
SUDBURY,37,17,68260,288,0,,,0,1,0,,,,2,0,0,11,,6,3,1,1,2,2,0,2,,1,,,0,0,10,20000,25,1,4,0,0,1,1998,1,44,0,,0,,,,,,,,,,,0,1,0,75,2,0.025,1,1,3,210,1,2088,1,1973,1999,1,1200,24,20,RESIDENTIAL,50,3,1,5,6,6,1,1994,1998,1,1,1,1,1,0,100,100,1,100,1,1,0,1,1,1,100,1,1,1998,0,6,110,330,0,60,450,10,100,100,0,0,1,0,,,,
MAYNARD,38,17,39625,174,4,1,2,0,0,0,,10000,2000,0,0,0,10,,2,5,0,1,2,2,1,0,,,,,,,,,,0,,,,,,,,0,,0,,,,,,,,,,,0,1,0,80,0,,1,0,0,130,1,547,1,,,1,500,26,26,SECONDARY,40,2,2,4.5,8,8,1,1996,2003,1,1,1,1,1,0,100,100,1,100,1,1,0,1,1,1,50,1,0,,,,,,,,,,,,,,,4,0,,,3000
BOXBOROUGH,39,17,7350,37,1,1,,0,0,0,,80000,26666.67,0,0,0,7,,4,2,1,1,0,,,0,,,,,,,,,,0,,,,,,,,0,,0,,,,,,,,,,,0,1,1,20,4,,3,1,2,150,0,884,1,1954,2000,1,500,22,20,SUBCOLLECTOR,50,2,1,,8,10,1,1982,1984,1,1,1,0,1,0,100,100,1,100,1,0,,0,1,1,50,1,1,2000,1,5,110,330,0,60,,20,100,100,1,0,1,0,,,,
LITTLETON,40,17,35950,158,0,,,0,0,0,,,,0,0,0,4,,4,1,0,1,2,2,1,2,1,1,1990,1998,0,0,10,,,0,,,,,,,,0,,0,,,,,,,,,,,0,1,0,90,1,40,1,1,1,150,0,2854,1,,2003,1,750,22,20,MINOR,40,2,1,4,8,10,1,2003,,0,1,0,0,0,,,,0,,0,0,,0,0,0,,0,1,2003,1,5,110,330,1,30,,20,100,100,0,0,0,0,,,,
WESTFORD,41,17,76135,330,6,,4,0,0,2,4,20000,,2,1,0,9,55,5,3,1,1,2,2,0,2,1,1,,2000,1,3,10,20000,10,2,3,0,0,0,,,,1,30,1,6,1996,1,2007,1,1,0,1,0,1,0,1,0,75,1,40,1,1,1,200,0,4637,1,1981,2004,0,1000,22,18,MINOR,50,3,2,,9,9,1,1987,1989,1,1,0,1,1,,100,100,1,100,1,0,,0,1,1,75,1,1,2000,1,5,150,450,0,20,,10,100,100,0,0,1,0,,,,
TYNGSBOROUGH,42,17,71025,301,2,,1,0,0,0,5,20000,,2,0,0,9,,3,3,0,1,2,1,0,2,,4,2001,,0,0,9,35000,,1,3,0,1,0,,,,1,65,1,10,1988,1,2008,0,1,0,0,0,0,0,1,0,100,2,40,1,1,2,200,0,1700,1,1987,,1,500,28,28,RESIDENTIAL,50,3,1,,10,10,1,2002,,0,1,1,1,1,1,100,200,1,100,1,1,0,1,1,1,50,1,1,1998,1,6,110,330,1,60,,10,100,100,0,0,0,1,0,,,4950
WRENTHAM,43,21,82315,350,2,,1,1,0,0,,90000,,2,0,0,8,,3,3,1,0,0,,,2,,1,,,0,0,8,22000,30,0,,,,,,,,0,,0,,,,,,,,,,,0,0,0,,3,25,1,1,2,200,1,3367,1,,,0,1500,26,26,MINOR,45,2,2,,8,8,1,1999,,1,0,1,1,1,0,100,100,1,100,1,1,0,1,1,1,50,1,1,1996,0,6,110,330,0,60,,10,50,100,0,0,1,0,,,,
NORFOLK,44,21,46050,208,0,,,0,1,0,,30000,,2,0,0,13,,5,3,1,1,2,2,1,2,1,1,1992,2002,1,,1.836547,20000,25,1,1,0,1,1,,0,0,0,,0,,,,,,,,,,,0,1,1,60,3,20,3,1,3,200,0,2295,1,,,0,600,26,14,SECONDARY,60,3,2,5,10,10,1,1989,1998,1,1,0,0,0,,,,1,100,1,1,0,1,0,1,50,1,1,1997,1,6,110,330,0,60,,10,75,100,0,0,1,0,,,,
PLAINVILLE,45,21,54100,238,1,1,2,0,0,1,,15000,7500,2,0,0,13,,2,4,1,0,0,,,2,1,1,1989,,0,2,5,20000,40,0,,,,,,,,0,,1,,,0,,0,0,0,0,0,0,0,0,0,,0,,3,1,1,225,0,2750,1,1971,1992,0,,28,28,LOCAL,50,3,1,5,8,8,1,1981,,1,0,0,0,0,,,,1,100,0,1,0,0,0,1,35,1,1,1996,1,5,110,330,0,60,,10,100,100,0,0,1,2,1,5,0,2500
MILLIS,46,21,41515,187,2,,1,1,2,0,5,30000,,2,1,0,5,55,3,3,1,0,2,2,1,2,0,1,2002,,0,,10,15000,35,0,,,,,,,,0,,0,,,,,,,,,,,0,1,0,75,2,0.08,1,1,1,200,0,1555,1,,,0,500,26,26,SUBDIVISION I,50,2,2,,10,10,1,,2004,0,0,0,0,0,,,,1,100,0,0,,0,0,0,,1,1,1995,0,5,110,330,0,30,,20,50,100,1,0,1,2,0,,,1500
